country,nuts3,potential,year,bark_kton,sawdust_kton
AT,AT113,UD03,2030,0.0,0.0
AT,AT113,UD04,2012,0.0,0.0
AT,AT113,UD04,2020,0.0,0.0
AT,AT113,UD04,2030,0.0,0.0
AT,AT113,UD05,2012,0.0,0.0
AT,AT113,UD05,2020,0.0,0.0
AT,AT113,UD05,2030,0.0,0.0
AT,AT113,UD06,2012,0.0,0.0
AT,AT113,UD06,2020,0.0,0.0
AT,AT113,UD06,2030,0.0,0.0
AT,AT113,UD07,2012,0.0,0.0
AT,AT113,UD07,2020,0.0,0.0
AT,AT113,UD07,2030,0.0,0.0
AT,AT113,UD08,2012,0.0,0.0
AT,AT113,UD08,2020,0.0,0.0
AT,AT113,UD08,2030,0.0,0.0
AT,AT121,BASE,2012,9.66987173160716,31.580371616927135
AT,AT121,BASE,2020,8.30835379179687,28.021823003949116
AT,AT121,BASE,2030,8.30835379179687,24.96959250564905
AT,AT121,HIGH,2012,0.0,0.0
AT,AT121,HIGH,2020,0.0,0.0
AT,AT121,HIGH,2030,0.0,0.0
AT,AT121,TECH,2012,9.66987173160716,31.580371616927135
AT,AT121,TECH,2020,8.30835379179687,28.021823003949116
AT,AT121,TECH,2030,8.30835379179687,24.96959250564905
AT,AT121,UD01,2012,9.66987173160716,31.580371616927135
AT,AT121,UD01,2020,8.30835379179687,28.021823003949116
AT,AT121,UD01,2030,8.30835379179687,24.96959250564905
AT,AT121,UD02,2012,0.0,31.580371616927135
AT,AT121,UD02,2020,0.0,28.021823003949116
AT,AT121,UD02,2030,0.0,24.96959250564905
AT,AT121,UD03,2012,0.0,0.0
AT,AT121,UD03,2020,0.0,0.0
AT,AT121,UD03,2030,0.0,0.0
AT,AT121,UD04,2012,0.0,0.0
AT,AT121,UD04,2020,0.0,0.0
AT,AT121,UD04,2030,0.0,0.0
AT,AT121,UD05,2012,0.0,0.0
AT,AT121,UD05,2020,0.0,0.0
AT,AT121,UD05,2030,0.0,0.0
AT,AT121,UD06,2012,0.0,0.0
AT,AT121,UD06,2020,0.0,0.0
AT,AT121,UD06,2030,0.0,0.0
AT,AT121,UD07,2012,0.0,0.0
AT,AT121,UD07,2020,0.0,0.0
AT,AT121,UD07,2030,0.0,0.0
AT,AT121,UD08,2012,0.0,0.0
AT,AT121,UD08,2020,0.0,0.0
AT,AT121,UD08,2030,0.0,0.0
AT,AT122,BASE,2012,29.0096374355064,47.507581251946206
